date,post_date,description,original_category,amount,account,account_type,source_file,month_folder,flow_type,category,subcategory,transaction_date
2026-01-28,2026-01-28,TRADER JOES #123,Groceries,-51.24,Aeroplan,credit_card,Aeroplan_Jan26.CSV,Jan26,spending,Groceries,,2026-01-27
2026-01-28,2026-01-28,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1290.52,SoFi-JointChecking,checking,SOFI-JointChecking_Jan26.csv,Jan26,cc_payment,cc_payment,,2026-01-28
2026-01-28,2026-01-28,Zelle Payment to Alex,ZELLE,-271.59,SoFi-JointChecking,checking,SOFI-JointChecking_Jan26.csv,Jan26,spending,Unclassified,,2026-01-28
2026-01-28,2026-01-28,INTEREST PAYMENT,INTEREST_EARNED,13.21,SoFi-JointSavings,savings,SOFI-JointSavings_Jan26.csv,Jan26,income,Income,Other Income,2026-01-28
2026-01-29,2026-01-29,CHIPOTLE 2345,Dining,-28.01,VentureX,credit_card,VentureX_Jan26.csv,Jan26,spending,Restaurants,,2026-01-29
2026-01-29,2026-01-29,DIRECT_PAY UTILITIES,DIRECT_PAY,-103.2,SoFi-JointChecking,checking,SOFI-JointChecking_Jan26.csv,Jan26,spending,Unclassified,,2026-01-29
2026-01-30,2026-01-30,Zelle Payment to Alex,ZELLE,-214.8,SoFi-JointChecking,checking,SOFI-JointChecking_Jan26.csv,Jan26,spending,Unclassified,,2026-01-30
2026-01-30,2026-01-30,TRADER JOES #123,Groceries,-87.31,Aeroplan,credit_card,Aeroplan_Jan26.CSV,Jan26,spending,Groceries,,2026-01-28
2026-01-30,2026-01-30,PANERA BREAD #4567,Food & Drink,-23.37,Aeroplan,credit_card,Aeroplan_Jan26.CSV,Jan26,spending,Unclassified,,2026-01-29
2026-01-30,2026-01-30,Zelle Payment to Alex,ZELLE,-92.04,SoFi-JointChecking,checking,SOFI-JointChecking_Jan26.csv,Jan26,spending,Unclassified,,2026-01-30
2026-01-31,2026-01-31,SAFEWAY STORE 1234,Groceries,-49.74,AmazonPrime,credit_card,AmazonPrime_Jan26.CSV,Jan26,spending,Groceries,,2026-01-31
